given_name,family_name,date_of_birth,place_of_birth
Mark,Dejean,05-07-1980,Blairgowrie
Michelle,Green,19-10-1969,Dalbeattie
Winifred,Cathersides,22-12-1923,Brechin
Frederick,Bird,11-08-1903,Galashiels
James,Cunningham,1872-11-02,Castle Douglas
Claire,Montague,07-02-1983,Downpatrick
Eve,Melhuish,1888-05-19,Fraserburgh
Brenda,Pitt,18-04-1940,Dungannon
Elaine,Riddell,12-10-1959,Elgin
Margaret,Lewis,1891-11-30,Galashiels
Tracey,Thompson,20-07-1967,Kilmarnock
Nicholas,Searle,04-06-1981,Montrose
Florence,Moore,31-01-1920,Peebles
Frederick,Hoggard,1867-09-25,Banff
Elizabeth,Tebbs,1853-06-26,Lerwick
Amelia,Stevens,1893-04-09,Stornoway
Andrea,Paterson,09-04-1959,Brechin
Marion,Nichols,20-03-1922,Lockerbie
Anthony,Colbert,01-12-1958,Dumbarton
Elizabeth,Noden,1868-03-23,Galashiels
Lydia,Hill,1872-04-30,Montrose
Anthony,Williams,23-01-1958,Stirling
Margaret,Wagstaff,04-05-1946,Oban
Matthew,Dark,30-01-1976,Perth
Javid,Younis,05-08-1975,Leven
David,Athay,18-09-1980,Aberdeen
Annie,Bolly,1871-04-11,Forfar
Charles,Betley,1853-11-23,Motherwell
Nancy,Lang,1847-02-27,Newtownards
Stephen,Turnbull,01-10-1900,Leven
Charles,Clarke,1888-04-06,Langholm
Zoe,Orton,21-07-1983,Lanark
Nellie,Dudley,22-06-1903,Kirkcaldy
Eveline,Prince,09-01-1910,Selkirk
Patricia,Keeling,11-09-1942,Tillicoultry
Kathleen,Mcdonagh,29-05-1938,Jedburgh
Caroline,Robinson,26-08-1934,Lurgan
Ernest,Bellegurullr,1893-11-18,Lanark
Raymond,Goodwin,19-01-1926,Rothesay
Albert,Sheppard,1884-03-08,Dunfermline
Mark,Smith,06-09-1953,Airdrie
Sydney,Daniel,28-01-1915,Dundee
Edward,Durrant,1860-02-17,Omagh
Emma,Mann,1881-06-30,Dumfries
John,Newhouse,1890-05-14,Kilsyth
Mark,Powell,29-10-1952,Selkirk
Joseph,Lee,1862-03-23,Kinross
Pamela,Berkin,30-11-1958,Kinross
Frances,Briance,24-01-1942,Bathgate
Edward,Lewis,1864-09-22,Dingwall
Margaret,Stone,10-12-1944,Forres
Phyllis,Crawford,14-01-1919,Bridge of Allan
Sarah,Evans,1860-04-10,Wishaw
William,Paterson,1884-11-25,Clydebank
Stanford,Smith,23-06-1942,Belfast
Sarah,Fisher,1874-09-17,Portsoy
Lisa,Cartwright,24-10-1969,Edinburgh
Rachel,Canham,1862-04-02,Barrhead
John,Lynes,1867-06-02,Hawick
William,Stansby,1863-06-02,Oban
Joseph,Griffiths,1867-10-28,Carluke
Charlotte,Marshall,1854-10-31,Wishaw
Victor,Hughes,18-11-1928,Hawick
Joseph,Dyer,06-06-1928,Aberdeen
Frank,Sebley,1872-01-30,Crieff
Jean,Cummings,22-04-1949,Dumbarton
Catherine,Laurance,1884-04-25,Golspie
Anthony,Quinn,07-09-1944,Airdrie
Maureen,Harber,19-05-1955,Rothesay
Marian,Wright,29-08-1913,Lerwick
Enid,Thomas,25-04-1915,Linlithgow
Linda,Ward,03-10-1945,Dromore
Charles,Johnson,1854-03-13,Portsoy
Nancy,Wray,02-10-1929,Langholm
Donald,Adlington,31-08-1935,Clydebank
Marie,Koch,14-01-1915,Ballymena
Francis,Palmer,28-01-1900,Keith
Charles,Davis,1872-05-01,Wishaw
Harold,Cannone,29-10-1917,Kinross
Kevin,Fairbotham,13-03-1956,Newton Stewart
William,Gray,1873-05-01,Kinross
Ilayn,Rose,18-03-1964,Thurso
Sharon,Hargreaves,18-02-1963,Cupar
Kenneth,Merrett,27-10-1916,Stirling
Winifred,Baxter,02-05-1931,Ballymena
Edith,Young,1895-04-30,Dungannon
Ann,Dawes,1854-01-05,Grantown-on-Spey
Denise,Hopgood,17-09-1980,Inverness
Janette,Skeet,03-06-1940,Alloa
Ena,Newton,28-06-1944,Edinburgh
Female,Flannegan,1880-03-08,Wishaw
Jennifer,Wilshaw,05-09-1968,Thurso
James,Flanagan,15-07-1909,Crieff
Thomas,Enion,1877-09-14,West Calder
Leo,Greenwood,1885-09-12,Londonderry
Ethel,Osbaldeston,1895-04-29,Airdrie
Daniel,Cordell,30-07-1979,Dingwall
Charlotte,Hobart,12-05-1907,Ayr
Frank,Read,1883-02-02,Dunfermline
Nancy,Holden,1870-04-28,Campbeltown
Charlotte,Lord,1849-08-15,Falkirk
Dorothy,Oram,23-11-1902,Langholm
John,Avison,01-11-1911,Milngavie
Kathleen,Rugg,10-11-1902,Thurso
Ruth,Brigham,30-07-1967,Wishaw
Eliza,Calvert,1884-02-15,Clydebank
Richard,Hurlstone,01-10-1943,Nairn
Wilfred,Mcnaughton,29-03-1902,Clydebank
Eliza,Norton,1897-10-25,Ardrossan
John,Mckenna,15-06-1964,Strabane
Dale,Hamer,26-12-1975,Falkirk
Alice,Thorpe,17-09-1918,Airdrie
Lizzie,Wright,1895-09-27,Banff
Lily,Aram,1883-01-21,Kinross
Isaiah,Mason,1878-10-17,Perth
Timothy,Fox,20-03-1973,Coatbridge
Alfred,Jenkins,1873-12-28,Dunfermline
Ellen,Smith,1876-04-30,Ayr
Simon,Walton,04-01-1958,Thurso
Mary,Haslam,05-07-1900,Irvine
William,Reynolds,1867-10-30,Tillicoultry
William,Nesworthy,1879-03-27,Irvine
Thomas,Smith,1899-01-23,Kirkcaldy
Emily,Higgins,1878-12-02,Newton Stewart
Karl,Scott,29-04-1970,St Andrews
Paul,Styler,06-06-1980,Blairgowrie
Florence,Bartram,1899-04-14,Inverness
Susan,Collard,04-08-1958,Anstruther
Charles,Ledgerwood,1864-01-09,Bathgate
George,Holgate,1860-08-13,Lanark
Susan,Dunstan,25-07-1947,Kelso
Thomas,Charnock,1888-10-25,Dingwall
Kitty,Tarr,22-10-1917,Oban
Ivy,Bailey,30-09-1911,Ballymena
Jessie,Bennetts,1896-10-10,Golspie
Antony,Phillips,25-12-1965,Belfast
William,Collins,1893-10-06,Wishaw
Esther,Woollam,1859-08-21,Enniskillen
John,Arnell,11-01-1943,Kelso
Vernon,Smith,17-02-1976,Clydebank
Brian,Hellewell,24-02-1967,Portsoy
Alix,Wallace,08-06-1974,Kinross
Ada,Williams,15-03-1911,Keith
George,Stephens,1894-01-13,Airdrie
Lilian,Ashley,24-09-1915,Anstruther
Nora,Kirby,21-02-1903,Grantown-on-Spey
Mary,Jenkins,1884-05-09,Stornoway
Julie,Bingham,28-06-1960,Downpatrick
David,Goodwin,03-09-1977,Londonderry
Douglas,Brown,06-03-1923,Londonderry
Dorothy,Fender,30-10-1931,Banbridge
Leah,Birchill,1876-08-29,Kinross
Charles,Howarth,15-07-1910,Wick
Ethelwyn,Mulloney,1872-08-27,Dalbeattie
John,Lumb,1874-07-07,Newtownards
James,Cope,02-04-1976,Bangor
Jim,Bruce,1896-10-26,Bridge of Allan
Audrey,Crosby,09-06-1928,Dalry
Sally,Kirton,16-03-1983,Stranraer
Walter,Frost,1877-10-04,Ardrossan
Esther,Daniels,17-08-1914,Falkirk
Robert,Buckley,1843-10-13,Banff
Derek,Juniper,20-10-1942,Dumbarton
Marian,Robinson,1898-09-10,Coatbridge
Lois,Rayson,1887-09-17,Belfast
Timothy,Horsfall,08-10-1980,Haddington
May,Oats,1877-11-07,Portadown
Alfred,Penketm,1883-11-20,Ballymoney
Ellen,Cowen,1881-02-20,Stranraer
William,Wheatley,1845-12-09,Helensburgh
Sarah,Salmon,27-06-1909,Coleraine
William,Godden,1871-05-28,Ballymena
Naomi,Lovekin,18-10-1980,Stirling
Jennifer,Tompkins,29-07-1977,Inverness
Emma,Price,05-10-1979,Stornoway
Isaac,Sargent,1851-10-09,Stranraer
David,Flockton,26-10-1948,Barrhead
Leslie,Hirst,26-02-1921,Dalbeattie
Sarah,Waind,1868-10-09,Jedburgh
Neil,Holland,17-07-1970,Lanark
John,Hole,1896-05-13,Lurgan
Mark,Evans,05-02-1970,Nairn
John,March,13-07-1961,Crieff
John,Donovan,1896-07-24,Invergordon
Ivy,Howells,05-10-1936,Castle Douglas
Jessica,Mccree,03-09-1979,Dalkeith
Nancy,Wilson,19-03-1908,Falkirk
John,Fitton,1860-09-26,Blairgowrie
Daniel,Pease,16-07-1980,Newton Stewart
Emma,Howell,24-05-1970,Bangor
Harold,Garbutt,23-03-1905,Selkirk
John,Cartwright,1896-02-12,Helensburgh
Maria,Coals,1884-02-07,Rothesay
Timothy,Morley,25-10-1939,Jedburgh
John,Trupp,1854-06-25,Dunfermline
Female,Pope,1848-06-17,Kilsyth
Florence,Mount,1873-05-11,Motherwell
Lily,Wynne,29-01-1913,Bangor
Daryl,Thompson,25-07-1962,Alloa
Joseph,Vernau,08-11-1932,Perth
Vivienne,Ough,20-11-1959,Buckie
Leonard,Pulleyn,11-07-1912,Blairgowrie
John,Davies,1847-03-18,Bangor
Fred,Forster,1891-02-22,Keith
Paul,Hughes,25-07-1965,Greenock
Sally-anne,Mayne,20-07-1980,Inverness
Bernadette,Ambrose,23-03-1965,Dalry
Martha,Litherland,19-09-1935,Langholm
Andrew,Ninnim,05-03-1965,Wick
Mary,Edwards,13-09-1919,Musselburgh
Percy,Lugg,1882-10-12,Dingwall
Ada,Eades,1877-07-01,Carluke
Pauline,Brown,01-11-1949,Musselburgh
Percy,Dineley,1869-12-01,Cupar
Thelma,Snowball,06-01-1934,Hamilton
Charles,Long,17-10-1918,Kinross
William,Carling,14-06-1911,Tillicoultry
Male,Wimpenny,1846-09-26,Banff
Henry,Turner,1860-08-31,Perth
Jean,Davis,22-08-1936,Elgin
Cecilia,Williams,1899-05-08,Dalkeith
Lily,Marshall,1886-07-12,Greenock
Albert,Middleton,03-06-1908,Bridge of Allan
John,Butler,21-05-1915,Kelso
George,Carter,1869-07-20,Ballymoney
Daisy,Harding,1897-10-15,Cupar
Sean,Colley,20-08-1968,Wishaw
Malcolm,Gilmore,09-06-1943,Dalbeattie
Sidney,Willimott,31-12-1940,Kirkintilloch
Alice,Horton,1867-07-21,West Calder
Elsie,Harrison,10-08-1907,Dingwall
Wayne,Farrell,18-09-1964,Coleraine
Florence,Keeton,1886-01-20,Rothesay
Gladys,Barnes,22-01-1923,Dundee
Arthur,Whitmee,1868-10-09,Ayr
Howard,Langdon,11-01-1951,Kilsyth
William,Helm,1846-11-04,Dalkeith
Annie,Baker,1886-02-12,Brechin
Judith,Turner,23-02-1943,Dumfries
Frederick,Marter,04-07-1904,Kirriemuir
Frederick,Smith,06-06-1914,Belfast
Celia,O'connor,1874-07-10,Newtownards
Peter,Gibbs,06-06-1922,Ardrossan
Stewart,Adams,01-12-1955,Ardrossan
Bertie,Fanthorpe,01-10-1907,Edinburgh
Henry,Runeckles,1895-06-19,Stirling
Maurice,Hill,13-07-1932,Newtownards
Mary,Yeadon,1890-04-14,Dundee
Elmear,Beckett,1878-05-02,Rothesay
Susannah,Harford,1866-05-01,Elgin
Elijah,Hensall,1868-06-16,Dungannon
Roger,Hallsworth,08-08-1948,Lerwick
Albert,Adams,12-01-1909,Leven
Neil,Thrower,15-05-1959,Omagh
Lily,Gillman,1893-08-09,Kirriemuir
Alfred,Hart,1892-02-19,Cookstown
Lily,Thynne,1888-07-28,Tillicoultry
Francis,Wolfe,1864-04-14,West Calder
Mark,Bowen,14-06-1923,Dalbeattie
Sam,Wordsworth,1854-08-24,Barrhead
Fred,Jackson,1865-03-20,Kirkintilloch
Ambrose,Parkes,1887-12-08,Bridge of Allan
David,Lamping,02-02-1982,Dumfries
Robert,Amos,1847-03-12,Kirkwall
Dorothy,Massingham,23-05-1900,Lanark
Ida,Skinner,14-06-1906,West Calder
Philip,Warnes,1874-06-01,Edinburgh
Colin,Dyde,30-10-1959,Omagh
Anthony,Hoggart,25-06-1952,Jedburgh
Edward,Letbe,1875-06-19,Stranraer
Thomas,Thomas,1898-08-14,Dufftown
Allan,Adams,12-10-1969,Lurgan
Alexandros,Dionysiou,19-07-1966,Airdrie
Joseph,Royce,1888-08-25,Anstruther
Laura,Martin,28-09-1979,Enniskillen
Annie,Hopkins,1869-06-12,Forfar
Annie,Thomas,16-03-1916,Dufftown
Bernard,Goodrum,21-10-1924,Falkirk
Thomas,Walkden,1894-08-07,Dromore
Elizabeth,Laycock,18-10-1905,Inverness
Brian,Conyard,11-08-1957,Bridge of Allan
Miriam,Ward,1896-10-03,Bellshill
Female,Muers,1858-03-19,West Calder
Stuart,Bracey,02-08-1971,Castle Douglas
Robert,Pemble,28-03-1942,Stornoway
Francis,Toogood,1888-03-30,Peebles
Jammie,Light,09-10-1965,Crieff
Daniel,Easton,06-01-1909,Wick
Derek,Watson,10-09-1955,Dalry
Mary,Ruddle,1877-05-15,Kirkcaldy
Joanne,Miles,30-04-1959,Dundee
Herbert,Thomson,1891-02-24,Armagh
Christine,Campbell,25-05-1961,Golspie
William,Rodgerson,1895-09-18,Port Glasgow
John,Stewart,20-05-1904,Glasgow
Paul,Knight,24-04-1978,Dumfries
Jonathon,Alden,07-04-1963,Clydebank
Harry,Jones,1879-05-25,Hamilton
Mabel,Collins,1886-10-01,Aberdeen
Grace,Coombs,1870-10-07,Kirriemuir
John,Brunskill,11-11-1943,Newton Stewart
Amelia,Hurst,1841-11-02,Bathgate
Margaret,Henry,18-12-1902,Helensburgh
James,Nicholson,15-07-1908,Barrhead
Gregory,Ingham,24-04-1970,Wishaw
Steven,Weeks,22-11-1960,Glasgow
Frederick,Cheeseman,26-05-1927,Kilsyth
Sharon,Wright,01-09-1963,Dumfries
Esther,Watson,1890-06-14,Oban
Stanley,Mason,21-09-1910,Kilsyth
William,Plint,1849-03-30,Banff
Mary,Taylor,1883-06-23,Lurgan
Louisa,Newton,1871-02-05,Haddington
Elaine,Carter,13-02-1936,Dumbarton
Sarah,Barnes,13-09-1973,Dumbarton
Florence,Bradford,09-10-1903,Annan
William,Bennett,12-12-1913,Crieff
Robert,Skea,29-06-1933,Strabane
Robert,Skelton,1859-09-19,Portadown
Barry,Gamble,29-09-1935,Londonderry
Henry,White,1873-08-21,Carluke
Debbie,Tiplady,03-08-1982,Banff
Harriet,Browne,1873-11-15,Kelso
Elizabeth,Cairns,1845-10-13,Milngavie
Hetty,Parsons,1889-11-25,Lockerbie
George,Martin,1854-10-25,Newtownards
Mercy,Walter,1877-01-27,Greenock
Paul,Weston,19-03-1954,Alloa
Teresa,Dunne,28-12-1969,Wishaw
Rita,Morgan,17-03-1952,Stonehaven
Ethel,Eastaugh,18-09-1916,Omagh
Fred,Clark,02-08-1915,Kilmarnock
William,Stott,01-10-1900,Lurgan
Jack,Pritchard,28-08-1918,Omagh
Jean,Andrews,23-02-1956,Dromore
Margaret,Evans,1869-08-18,Newry
Mary,Clegg,12-03-1925,Brechin
Margaret,Ellison,1871-11-27,Kirkintilloch
George,Ingram,1890-03-01,Selkirk
Mary,Stanton,1839-12-20,Falkirk
Marigold,Hayes,16-02-1950,Paisley
Mabel,Renkin,1887-12-16,Newton Stewart
Robert,Kerr,21-08-1974,Peterhead
Ernest,Nash,1869-06-05,Hamilton
Olive,Smith,17-08-1922,Ballymoney
Charlotte,Goode,1880-06-02,Inverness
Agnes,Pulford,1868-10-15,Bangor
Margaret,Whitebread,01-07-1919,Langholm
George,Smith,1888-07-14,Annan
Ronald,Berryman,25-10-1933,Grantown-on-Spey
Caroline,Smilg,10-03-1965,Peterhead
Frederick,Bower,1888-01-07,Arbroath
John,Davies,1881-03-27,Airdrie
Charles,Nicholls,1885-09-23,Blairgowrie
Nicola,Milner,18-11-1966,Stonehaven
Neil,Harris,28-11-1939,Rothesay
Ernest,Parker,13-11-1935,Inverness
Thomas,Smith,1880-09-14,Aberdeen
Florence,Bedford,1867-11-06,Ballymena
Harriet,Mason,1872-11-25,Hawick
Selina,Cheshire,1896-04-21,Dungannon
Lily,Clements,1887-12-22,Kelso
Ian,Schofield,04-05-1948,Dalry
Alice,Beasley,20-03-1914,Banff
Graham,Bostock,14-05-1952,Bathgate
May,Noyes,1885-06-05,Anstruther
Ethane,Perkins,24-03-1945,Rothesay
Edward,Lejeune,29-10-1906,Milngavie
Millicent,Burg,21-05-1922,Lockerbie
Charles,Topliff,1859-03-09,Coatbridge
Eva,Jordan,1883-09-14,Irvine
Karen,Styles,30-01-1963,Cookstown
Elsie,Smith,1873-08-04,Motherwell
Mary,Stevens,1874-09-23,Kinross
Maxine,Harris,17-12-1967,Bathgate
Peter,Lever,02-07-1908,Irvine
Raymond,Eagling,19-11-1951,Fraserburgh
Annie,Turnbull,24-12-1922,Langholm
Stephen,Rodda,22-02-1954,Golspie
Mabel,Welling,1887-08-30,Castle Douglas
Kenneth,Mansbridge,24-06-1949,Airdrie
Daphne,White,04-01-1919,Forfar
Elizabeth,Berry,08-10-1912,Lanark
Simon,Hope,27-02-1974,Carrickfergus
Arthur,Satchell,1871-07-21,Dumbarton
Louisa,George,1877-06-19,Wick
Betty,Davies,14-05-1913,Newtownards
Jeffrey,Mckone,14-05-1956,Galashiels
Rhodes,Warraner,1869-11-22,Kelso
Kevin,Pearson,22-07-1967,Crieff
Albert,Young,1897-10-17,Lisburn
Tina,Ivory,05-12-1972,Stranraer
Gladys,Little,1897-03-01,Clydebank
Leon,Croxson,20-10-1941,Selkirk
Kevin,Taunton,18-12-1963,Bathgate
Gladys,Humphreys,10-05-1908,Elgin
Conrad,Dorricott,27-03-1969,Peebles
Kiethsha,Beaumontt,24-05-1975,Armagh
Janet,Morgan,19-09-1946,Stonehaven
Joseph,Compton,17-09-1900,Blairgowrie
Vera,Panting,21-09-1920,Cookstown
Harry,Kelly,1893-09-19,Forfar
Edwin,Paterson,01-09-1928,Dundee
Robert,Udall,1879-04-13,Dufftown
Hilda,Mcelroy,27-11-1908,Inverness
Ian,Turner,08-04-1976,Downpatrick
Christopher,Price,1890-09-23,Thurso
Jean,Mallinder,22-08-1959,Jedburgh
Robert,Reynolds,06-08-1957,Carluke
Alice,Addison,1885-10-28,West Calder
Lucy,Hone,1872-05-08,Langholm
Maria,Bullo,11-11-1968,Brechin
Geoffrey,Barker,05-12-1942,Lurgan
Brenda,Pearson,29-09-1947,Keith
Nora,King,04-11-1909,Enniskillen
Mary,Bourne,1839-10-07,Montrose
Gary,Phillips,30-03-1978,Omagh
George,Grainge,1848-04-15,Langholm
Amanda,Harris,12-08-1961,Forfar
Hilda,Raby,01-09-1911,Forfar
Brian,Emery,17-09-1933,Dalbeattie
Elizabeth,Ainsworth,1885-10-28,Ballymoney
Male,Weedall,1888-10-21,Falkirk
Mathew,Hanson,13-05-1979,Bellshill
Hannah,Morris-krsihich,18-09-1979,Hawick
Gloria,Shaw,08-12-1948,Cupar
James,Sharks,07-12-1944,Stranraer
Stephen,Holland,1858-05-05,Kelso
Female,Humphries,1848-03-07,Selkirk
Albert,Davies,1875-06-19,Cookstown
Paul,Sharp,03-10-1967,Anstruther
Susannah,Wood,1850-09-06,Carrickfergus
Wilfred,Bingle,20-11-1944,Wishaw
Ellen,Donnelly,01-07-1916,Kirriemuir
Frances,Weston,1898-08-17,Coatbridge
John,Arnold,17-05-1946,Peterhead
Theresa,Mason,1885-01-23,Edinburgh
Paul,Ambler,24-08-1960,Fraserburgh
Owen,Williams,1853-09-14,Ayr
Henry,Metcher,19-09-1901,Bathgate
William,Weeks,27-11-1903,West Calder
John,Lancaster,1883-03-26,Golspie
Henry,Newick,1864-05-11,Newtownards
John,Reilly,30-12-1952,Kinross
Robert,Dale,31-01-1942,Montrose
Philip,O'connell,27-02-1950,Aberdeen
Leslie,Plant,17-12-1909,Port Glasgow
Mary,Fowl,03-05-1922,Barrhead
Christopher,Lewis,1894-03-11,Armagh
Eric,Walker,23-12-1921,Arbroath
Elizabeth,Hemming,1864-09-18,Strabane
Terence,Johnson,27-02-1952,Wishaw
Mary,Paul,09-04-1901,Forfar
John,Hartley,18-01-1901,Musselburgh
George,Snaith,1866-10-05,Perth
David,Smith,20-09-1937,Stirling
Harry,Sturdy,1883-12-26,Dalry
Joseph,Buckley,1856-12-16,Irvine
Glen,Stuart,01-04-1961,Enniskillen
Jasmine,Weedon,21-06-1950,Newton Stewart
Thomas,Duckett,1898-04-29,Ardrossan
James,Fry,1845-01-15,Oban
Brian,Langford,03-06-1933,Stirling
William,Stringer,1881-01-22,Lerwick
William,Haynes,1871-03-29,Enniskillen
Sarah,Mouat,11-02-1954,Forres
Lucy,Banks,1894-10-21,Dromore
John,Hammond,1894-05-26,Milngavie
Daniel,Ratcliffe,02-04-1972,Dunfermline
George,Riley,1897-01-15,Kelso
Jonathan,Mincher,25-03-1968,Wick
Noreen,Amin,08-02-1979,Falkirk
William,Logwood,1878-04-24,Airdrie
Florence,Christelow,26-03-1904,Tillicoultry
Constance,Gould,03-04-1926,Kinross
Clara,Baxendale,09-08-1924,Galashiels
Emma,Rowe,1892-01-14,Carluke
Nicholas,Hall,07-05-1967,Milngavie
Nicholas,Fox,06-07-1975,Kirkwall
Frederick,Buckingham,1869-11-09,Blairgowrie
John,Huxley,1898-02-20,Strabane
Richard,Parker,26-09-1968,Elgin
Ernestine,Jones,08-03-1926,Ballymena
Ellen,Tovey,1877-10-04,Kilsyth
Margaret,Cutler,25-12-1957,Inverness
Charity,Blakley,1867-02-18,Kirkintilloch
Hilda,Cook,24-02-1906,Ballymena
Mabel,Foote,16-08-1911,Bellshill
Margaret,Fisher,1864-06-02,Stonehaven
Helen,Turvey,10-07-1941,Invergordon
Lynne,Parker,24-06-1958,Falkirk
Herbert,Hart,1896-08-17,Newry
Gwendoline,Wozencroft,22-11-1940,Dalry
Hayley,Perry,03-08-1981,Banbridge
Dennis,Galloway,04-06-1930,Kelso
Arthur,Holdsworth,1873-02-10,Inverness
Luke,King,27-11-1970,Motherwell
Ada,Kraus,05-09-1919,Bridge of Allan
Alice,Bradley,1850-08-05,Belfast
Sidney,Jackson,06-02-1904,Inverness
Leigh,Johnson,16-11-1983,Strabane
Mary,Edward,1846-11-27,Omagh
John,Owen,1846-08-15,Wick
Mary,Jones,1886-08-23,Lanark
Joseph,Jones,12-01-1907,Armagh
Nathen,Millward,12-01-1974,Armagh
Elizabeth,Mccann,25-05-1917,Jedburgh
Richard,Bartlett,13-01-1958,Hawick
Annie,Millard,1883-04-15,Tillicoultry
Florence,Hooker,1880-03-27,Kilmarnock
William,Simpson,10-10-1929,Irvine
Nichola,Franklin,22-12-1974,Barrhead
Violet,Jones,14-11-1914,Aberdeen
Arthur,Pearce,11-10-1905,Anstruther
Arthur,Kent,1887-10-31,Stranraer
Neil,Smith,07-11-1972,Lanark
Mary,Cook,1842-03-07,Lisburn
Helen,Hackett,09-12-1904,Huntly
Harry,Thorpe,1857-11-24,Stranraer
Pavolo,Veneziale,12-09-1964,Ardrossan
Henry,Pidgeon,1887-09-27,Wishaw
George,Nokes,1857-02-17,Campbeltown
J?¬rgen,Youngjohns,27-04-1934,Brechin
Dennis,Fitzgerald,06-10-1959,Wishaw
Elias,Tonge,1840-12-19,Larne
Sophia,Pickering,1844-03-13,Dingwall
John,Rooks,27-10-1904,Dundee
Henry,Brandwood,05-06-1911,Dundee
Sarah,Charles,1890-12-12,Dromore
Hilda,Hart,1897-08-03,Lanark
Alice,Tracey,1869-12-28,Dumbarton
Lorraine,Sines,28-09-1979,Armagh
Deborah,Wilkinson,11-02-1969,Kirkwall
George,Dawn,1855-04-17,Clydebank
Caroline,Granger,1866-05-02,Bridge of Allan
Maureen,Kirk,05-03-1938,Hawick
George,Batting,1838-10-02,Lanark
Ira,Bell,1877-12-19,Cookstown
Mary,Corley,28-03-1920,Bangor
David,Edwards,1883-02-21,Downpatrick
Ann,Wells,1863-10-29,Lanark
Margaret,Hagan,1870-02-27,Bangor
Mary,Chandley,1886-07-27,Nairn
Catherine,Douglass,1881-11-10,Galashiels
Adelia,Raine,24-12-1922,Fraserburgh
Frederick,Ward,1867-11-23,Dingwall
John,Tune,14-10-1945,Bridge of Allan
Mary,Ball,24-10-1941,Anstruther
Fred,Walker,1853-03-30,Haddington
Ada,Hunt,18-03-1904,Clydebank
Maureen,Lewis,09-05-1949,Jedburgh
John,Thompson,1861-08-13,Blairgowrie
Mary,Crofts,1883-08-30,Cupar
Pamala,Turner,1894-10-22,Kirkintilloch
Jeanne,Bush,10-11-1926,Haddington
Allan,Williams,25-02-1977,Hamilton
Joseph,Barnes,1855-10-09,Strabane
Edith,Gill,1898-05-01,Ardrossan
Patricia,Brown,29-08-1942,Forres
Stephen,Holt,02-09-1958,Coatbridge
Doris,Hill,21-06-1904,Lurgan
Stephen,Brennan,05-09-1944,Galashiels
Ethel,Slaughter,04-11-1916,Rothesay
Susanna,Barren,1839-10-18,West Calder
Irene,Williscroft,11-05-1955,Downpatrick
Frank,Higginson,17-05-1903,Bangor
Beatrice,Coombes,1892-10-14,Keith
Septimus,Wilson,1862-11-25,Ayr
Clara,Barker,1885-04-25,Londonderry
Jody,Till,30-11-1982,Downpatrick
Robert,Smith,03-04-1977,Ayr
Herbert,Harvey,30-10-1906,Ardrossan
Lucy,Tee,1889-07-05,Stonehaven
Jonathan,Groves,03-09-1959,Crieff
Kerry,Winters,18-06-1967,Carrickfergus
Jennifer,Auger,12-10-1958,Coatbridge
Esther,Richter,27-12-1907,Blairgowrie
Charles,Webb,22-12-1923,Lisburn
Pauleth,Pipe,18-11-1962,West Calder
Joseph,Francis,04-06-1917,Cookstown
Simon,Ricketts,18-10-1969,Lerwick
Timothy,Oakes,09-09-1982,Wick
Diana,Pender,02-08-1959,Barrhead
Amanda,Wright,16-03-1968,Lerwick
Walter,Cohoon,27-09-1912,Inverness
Alice,Busby,1845-02-16,Jedburgh
Margaret,Norris,28-10-1938,Bridge of Allan
Pauline,Kippax,19-04-1958,Bangor
Ellen,Sweeny,1852-01-16,Forfar
Michael,Bromley,1859-11-18,Helensburgh
Harold,Gee,27-11-1925,Selkirk
Alice,Davies,24-02-1913,Montrose
Thomas,Greenwood,1867-02-10,Kelso
Steven,Fisher,11-08-1971,Lanark
Harriet,Burton,1851-08-29,Glasgow
Jane,Turner,1853-11-23,Hamilton
Elizabeth,Mcelroy,1868-02-08,West Calder
Fanny,Woolley,1886-06-20,Anstruther
Beverly,Howells,30-04-1979,Crieff
Emily,Davies,24-08-1916,Enniskillen
Joan,Whiteing,13-08-1920,Aberdeen
Henry,Embury,04-12-1906,Forres
Olivia,Mudie,09-10-1976,Larne
Ronald,Davis,09-12-1913,Port Glasgow
Pauline,Smith,07-03-1965,Lerwick
Edgar,Fawn,1858-10-02,Strabane
Charles,Lisle,1842-08-10,Dalkeith
Sarah,Sharp,1858-07-05,Bridge of Allan
Elizabeth,Humphries,1858-07-13,Rothesay
Margaret,Carrick,1879-11-14,Paisley
Ellen,Read,1872-01-26,Armagh
Paul,Capel,06-10-1979,Nairn
Denis,French,12-05-1922,Edinburgh
Elizabeth,Hassall,1850-07-15,Banbridge
Mark,Riordan,11-10-1961,Kilmarnock
Bertie,Garrett,1899-03-26,Barrhead
Richard,Jones,1854-10-23,Dingwall
Lois,Thomas,05-12-1914,Bridge of Allan
Ann,Hebbard,1860-09-21,Elgin
Betty,Nichols,11-06-1949,Golspie
John,Myhill,1879-03-21,Hawick
Arthur,Curd,1879-01-24,Londonderry
Rachel,Boski,1888-01-07,Ayr
Stella,Morris,19-02-1917,Dufftown
Caroline,Mcmurray,25-06-1967,Paisley
Denise,Brooks,08-11-1960,Lanark
Mary,Beaglehole,1857-02-10,Inverness
Edna,Downing,20-01-1910,Lockerbie
Sarah,Hall,1873-07-15,Glasgow
June,Ballard,25-07-1938,Leven
Sibyl,Jeffs,30-03-1919,Alloa
Steven,Laws,17-11-1971,Greenock
Wendy,Kay,29-09-1975,Armagh
